"","type","name","label","hint","required","relevant","appearance","constraint","constraint_message","choice_filter","calculation","kuid","repeat_count"
"23","select_one yes_no","hh_ids","Does your household have any identity documentation (for example passport or national ID card) in your possession?","Qoyskaaga ma heystaan wax aqoonsi ah (passport mise aqoonsiga qofka ee dowladda)?","true","","","","","","",NA,""
"24","select_one yes_no","hh_children","Are there children (aged 0-17) in your household?","Gurigaan ma joogaan caruur da'doodu tahay 17 sano iyo ka yar?","true","","","","","","",NA,""
"25","note","note_hh_demographics","Please give the number of household members in this household in each age and gender group, including the respondent","Fadlan sheeg tirada qoyskaaga ee halkaan ku sugan, adigoo u kala soocaya da'da iyo jinsiga qof walba oo adiga tirada ku jirtid","false","","","","","","",NA,""
"26","begin_group","demog_list","Demographic list","Demographic list","false","","field-list","","","","",NA,""
"27","integer","males_0_6m","Males 0-6 months","Rag 0-6 bil jir ah","true","selected(${hh_children},""yes"")","",".>=0 and .<=20","Must be a positive number, and less than 20","","",NA,""
"28","integer","females_0_6m","Females 0-6 months","Dumar 0-6 bil jir ah","true","selected(${hh_children},""yes"")","",".>=0 and .<=20","Must be a positive number, and less than 20","","",NA,""
"29","integer","males_6m_4y","Males 7 months - 4 years","Rag 7 bil ilaa 4 sano jir ah","true","selected(${hh_children},""yes"")","",".>=0 and .<=20","Must be a positive number, and less than 20","","",NA,""
"30","integer","females_6m_4y","Females 7 months - 4 years","Dumar 7 bil ilaa 4 sano jir ah","true","selected(${hh_children},""yes"")","",".>=0 and .<=20","Must be a positive number, and less than 20","","",NA,""
"31","integer","males_5_12","Males 5-12 years","Rag 5-12 sano jir ah","true","selected(${hh_children},""yes"")","",".>=0 and .<=20","Must be a positive number, and less than 20","","",NA,""
"32","integer","females_5_12","Females 5-12 years","Dumar 5-12 sano jir ah","true","selected(${hh_children},""yes"")","",".>=0 and .<=20","Must be a positive number, and less than 20","","",NA,""
"33","integer","males_13_15","Males 13-15 years","Rag 13-15 sano jir ah","true","selected(${hh_children},""yes"")","",".>=0 and .<=20","Must be a positive number, and less than 20","","",NA,""
"34","integer","females_13_15","Females 13-15 years","Dumar 13-15 sano jir ah","true","selected(${hh_children},""yes"")","",".>=0 and .<=20","Must be a positive number, and less than 20","","",NA,""
"35","integer","males_16_17","Males 16-17 years","Rag 16-17 sano jir ah","true","selected(${hh_children},""yes"")","",".>=0 and .<=20","Must be a positive number, and less than 20","","",NA,""
"36","integer","females_16_17","Females 16-17 years","Dumar 16-17 sano jir ah","true","selected(${hh_children},""yes"")","",".>=0 and .<=20","Must be a positive number, and less than 20","","",NA,""
"37","integer","males_18_40","Males 18-40 years","Rag 18-40 sano jir ah","true","","",".>=0 and .<=20","Must be a positive number, and less than 20","","",NA,""
"38","integer","females_18_40","Females 18-40 years","Dumar 18-40 sano jir ah","true","","",".>=0 and .<=20","Must be a positive number, and less than 20","","",NA,""
"39","integer","males_41_59","Males 41-59 years","Rag 41-59 sano jir ah","true","","",".>=0 and .<=20","Must be a positive number, and less than 20","","",NA,""
"40","integer","females_41_59","Females 41-59 years","Dumar 41-59 sano jir ah","true","","",".>=0 and .<=20","Must be a positive number, and less than 20","","",NA,""
"41","integer","males_60_over","Males 60 or older","Rag 60 sano jir ah ama ka weyn","true","","",".>=0 and .<=20","Must be a positive number, and less than 20","","",NA,""
"42","integer","females_60_over","Females 60 or older","Dumar 60 sano jir ah ama ka weyn","true","","",".>=0 and .<=20","Must be a positive number, and less than 20","","",NA,""
"43","end group","demog_list","","","","","","","","","",NA,""
"44","calculate","total_hh","","","","","","","","","${males_0_6m}+${females_0_6m}+${males_6m_4y}+${females_6m_4y}+${males_5_12}+${females_5_12}+${males_13_15}+${females_13_15}+${males_16_17}+${females_16_17}+${males_18_40}+${females_18_40}+${males_41_59}+${females_41_59}+${males_60_over}+${females_60_over}",NA,""
"45","calculate","children_vaccine_age","","","","","","","","","${males_6m_4y}+${females_6m_4y}+${males_5_12}+${females_5_12}+${males_13_15}+${females_13_15}",NA,""
"46","calculate","children_0_4","","","","","","","","","${males_0_6m}+${females_0_6m}+${males_6m_4y}+${females_6m_4y}",NA,""
"47","calculate","school_age_male","","","","","","","","","${males_5_12}+${males_13_15} + ${males_16_17}",NA,""
"48","calculate","school_age_female","","","","","","","","","${females_5_12}+${females_13_15} + ${females_16_17}",NA,""
"49","calculate","school_age_total","","","","","","","","","${school_age_male}+${school_age_female}",NA,""
"50","calculate","total_children","","","","","","","","","${children_0_4}+${school_age_total}",NA,""
"51","select_one yes_no","total_hh_confirm","Please confirm the total number of household members is ${total_hh}","Fadlan iska hubi wadarta guud ee tirada qoyskaaga inay tahay ${total_hh}","true","","","not(selected(.,'no'))","If the total number of HH members is incorrect, please review the demographics section for errors","","",NA,""
"52","begin_group","vuln","","","","","field-list","","","","",NA,""
"53","note","note_vulnerability","How many of the following people are in the household currently?","Imisa qof oo qoyska ka tirsan ayaa ah ama leh tilmaamaha soo socda:","","","","","","","",NA,""
"54","integer","plw","Pregnant or lactating women","Hooyo uur leh ama nuujineysa","true","${females_13_15}>0 or ${females_16_17}>0 or ${females_18_40}>0","",".<=${females_13_15}+${females_16_17}+${females_18_40}","Should be less than or equal to total females in the age of 13-40 years old","","",NA,""
"55","integer","disabled_chronic","Persons with disability or chronic illness","Dadka naafo ah ama qaba cudurada daaha (Sokor, dhiigkar, iwm)","true","","",".<=${total_hh}","Should be less than or equal to total members of the household","","",NA,""
"56","integer","sick_children","Sick children (under 5 years old)","Caruur xanuusan (5 sano ka yar)","true","${males_0_6m}>0 or ${males_6m_4y}>0 or ${females_0_6m}>0 or ${females_6m_4y}>0","",".<=${males_0_6m}+${males_6m_4y}+${females_0_6m}+${females_6m_4y}","Should be less than or equal to total children in the household","","",NA,""
"57","integer","mental","Members suffering from mental health issues","Dad ka cabanaya xanuunada maskaxda (waali) / Dad waalan","true","","",".<=${total_hh}","Should be less than or equal to total members of the household","","",NA,""
"58","integer","uasc","Unaccompanied or separated children","Caruur aan lala socon ama ka dhumay dadkooda/qosykooda","true","${total_children}>0","",".<=${total_children}","Should be less than or equal to total children in the household","","",NA,""
"59","end group","vuln","","","","","","","","","",NA,""
"60","begin_group","vuln_gender","","","","","field-list","","","","",NA,""
"61","note","note_vuln_gender","Please give more details of gender","Haddii ay jiraan dad nugul/ ama liita, fadlan ukala sheeg jinsi ahaan","","${disabled_chronic}>0 or ${sick_children}>0 or ${mental}>0 or ${uasc}>0","","","","","",NA,""
"62","integer","disabled_chronic_male","Males with disability or chronic illness","Rag naafo ah ama qaba cudurada raaga","true","${disabled_chronic}>0","",".<=${males_0_6m}+${males_6m_4y}+${males_5_12}+${males_13_15}+${males_16_17}+${males_18_40}+${males_41_59}+${males_60_over}","Should be less than or equal to total males in the household","","",NA,""
"63","integer","disabled_chronic_female","Females with disability or chronic illness","Dumar naafo ah ama qabta cudurada raaga","true","${disabled_chronic}>0","","(${disabled_chronic_male}+${disabled_chronic_female}=${disabled_chronic}) and .<=${females_0_6m}+${females_6m_4y}+${females_5_12}+${females_13_15}+${females_16_17}+${females_18_40}+${females_41_59}+${females_60_over}","Total of males and females with diability or chronic illness should be equal to total members in the household with disability and chronic illness AND/OR females with diasbility should be less than or equal to total females in the household","","",NA,""
"64","integer","sick_boys_under5","Sick male child under 5","Wiilal 5 sano ka yar oo xanuunsan","true","${sick_children}>0","",".<=${males_0_6m}+${males_6m_4y}","Should be less than or equal to total number of under 5 boys in the household","","",NA,""
"65","integer","sick_girls_under5","Sick female child under 5","Gabdho 5 sano ka yar oo xanuunsan ","true","${sick_children}>0","","(${sick_children}=${sick_boys_under5}+${sick_girls_under5}) and .<=${females_0_6m}+${females_6m_4y}","Total of sick boys and girls should be equal to total sick children in the household AND/OR sick girls under 5 should be less than or equal to total number of under 5 boys in the household","","",NA,""
"66","integer","stress_boys","Boys suffering from mental health issues","Wiilal qaba xanuunada maskaxda (waali) ","true","${mental}>0","",".<=(${males_0_6m}+${males_6m_4y}+${males_5_12}+${males_13_15}+${males_16_17})","Should be less than or equal to number of boys in the household","","",NA,""
"67","integer","stress_girls","Girls suffering from mental health issues","Gabdho qaba xanuunada maskaxda (waali) ","true","${mental}>0","",".<=(${females_0_6m}+${females_6m_4y}+${females_5_12}+${females_13_15}+${females_16_17})","Should be less than or equal to number of girls in the household","","",NA,""
"68","integer","stress_men","Adult males suffering from mental health issues","Rag qaangaar ah oo qaba xanuunada maskaxda (waali) ","true","${mental}>0","",".<=(${males_18_40}+${males_41_59}+${males_60_over})","Should be less than or equal to number of adult males in the household","","",NA,""
"69","integer","stress_women","Adult females suffering from mental health issues","Dumar qaangaar ah oo qabta xanuunada maskaxda (waali)","true","${mental}>0","","${mental}=(${stress_boys}+${stress_girls}+${stress_men}+${stress_women}) and .<=(${females_18_40}+${females_41_59}+${females_60_over})","Total of sick boys and girls should be equal to total sick children in the household AND/OR stress women should be less than or equal to number of adult females in the household","","",NA,""
"70","integer","uasc_boys","Unaccompanied or separated boys","Wiilal aan lala socon ama ka dhumay dadkooda","true","${uasc}>0","",".<=(${males_0_6m}+${males_6m_4y}+${males_5_12}+${males_13_15}+${males_16_17})","Should be less than or equal total number of boys in the household","","",NA,""
"71","integer","uasc_girls","Unaccompanied or separated girls","Gabdho aan lala socon ama ka dhumay dadkooda","true","${uasc}>0","","(${uasc}=${uasc_boys}+${uasc_girls}) and .<=(${females_0_6m}+${females_6m_4y}+${females_5_12}+${females_13_15}+${females_16_17})","Total of unaccompanied or sepearted boys and girls should be equal to total UASC children in the household AND/OR UASC girls should be less than or equal total number of girls in the household","","",NA,""
"72","end group","vuln_gender","","","","","","","","","",NA,""
"73","end_group","","","","","","","","","","",NA,""
"74","begin_group","C","Displacement ","BARAKACA/BARAKICIDA","","","","","","","",NA,""
"75","select_one yes_no","yes_no_host","Have you always lived in the settlement you are currently living in?","Waligaa deegaankaan miyaad ku nooleyd?","true","","","","","","",NA,""
"76","select_one yes_no","hosting_idp","Are you currently hosting any people who are not usually members of this household and who share resources, such as food and water, with you?","Qoyskaaga makula joogaan dad aan aheyn xubnaha qoyskaaga oo xilli walba kula jooga oo aad wadaagtaan nolol maalmeedka aasaasiga ah, sida cuntada, iyo biyaha?","true","selected(${yes_no_host},'yes')","","","","","",NA,""
"77","select_one yes_no","yes_no_idp","Are you a Somali who has moved from another location in Somalia?","Meel kale oo Somalia ka tirsan miyaad kasoo qaxday/guurtay?","true","selected(${yes_no_host},'no')","","","","","",NA,""
"78","select_one yes_no","yes_no_returnee","Are you a Somali returning to Somalia from another country?","Miyaad tahay qof Soomaali ah oo kusoo laabanaya wadanka?","true","selected(${yes_no_host},""no"") and selected(${yes_no_idp},""no"")","","","","","",NA,""
"79","begin_group","idp","Internally displaced","Qof barakace ah - Qof ku barakacay isla wadanka gudihiisa","","selected(${yes_no_idp},""yes"")","","","","","",NA,""
"80","select_one region","region_idp","What is your region of origin?","Gobolkee kasoo jeedaa?","true","","","","","","",NA,""
"81","select_one district","district_idp","What is your district of origin?","Degmadee kasoo jeedaa?","true","","","","","region=${region_idp}","",NA,""
"82","select_one_external settlements","settlement_idp","What is your settlement of origin?","Deegaankee kasoo jeedaa?","true","","","","","district=${district_idp}","",NA,""
"83","text","settlement_idp_other","Please enter the name of the town, village or neighbourhood","Fadlan qor magaca magaalada, tuullada ama xaafada","true","selected(${settlement_idp},""other"")","","","","","",NA,""
"84","end_group","","","","","","","","","","",NA,""
"85","begin_group","returnee","Returnee","Qaxooti kasoo laabte (Qof Soomaali ah oo kasoo laabanaya dalka dibadiisa oo qaxootinimo ugu joogay) ","","selected(${yes_no_returnee},""yes"")","","","","","",NA,""
"86","select_one return_country","returnee_country","From which country is the household returning?","Wadankee ayee qoyskaaga kasoo noqonayaan?","true","","","","","","",NA,""
"87","text","returnee_country_other","If other, please specify","Wax kale, fadlan qeex:","true","selected(${returnee_country},""other"")","","","","","",NA,""
"88","select_one return_area","returnee_area","From which area of ${returnee_country} is the household returning?","${returnee_country} dhinacee ayee qoyskaaga kasoo noqonayaan? ","true"," selected(${returnee_country},""ethiopia"") or selected(${returnee_country},""kenya"")","","","","country=${returnee_country}","",NA,""
"89","text","returnee_area_other","If other, please specify","Wax kale, fadlan qeex:","true","selected(${returnee_area},""other"")","","","","","",NA,""
"90","select_one return_settlement","returnee_settlement","From which settlement of ${returnee_area} is the household returning?","${returnee_country} deegaankee/xaafadee ayee qoyskaaga u noqonayaan? ","true","selected(${returnee_area},""dollo_ado"") or selected(${returnee_area},""jijiga"") or selected(${returnee_area},""dadaab"")","","","","area=${returnee_area}","",NA,""
"91","text","returnee_settlement_other","If other, please specify","Wax kale, fadlan qeex:","true","selected(${returnee_settlement},""other"")","","","","","",NA,""
"92","select_one yes_no","registered_return","Did you register for voluntary return with UNHCR or authorities in your place of refugee?","Malagu diiwaan geliyay barnaamijka soo celinta iskaaga ah ee UNHCR?","true","selected(${returnee_country},""kenya"")","","","","","",NA,""
"93","end_group","","","","","","","","","","",NA,""
"94","begin_group","refugees","Refugee - (Shouldnï¿½t be from Somalia)","Qaxooti (aan Soomaali aheyn)","","selected(${yes_no_returnee},""no"") and selected(${yes_no_host},""no"")","","","","","",NA,""
"95","select_one yes_no","refugee","Are you a person of another nationality who has travelled from another country?","Ma tahay qof heysta dhalasho kale (aan Soomaali aheyn) kana soo safray dal kale?","true","","","not(selected(.,'no'))","Cannot proceed further - go back to the displacement questions and read the questions carefuly","","",NA,""
"96","text","country_origin","From which country did this household travel? _(Should not be from Somalia)_","Wadankee qoyskaaga kasoo safreen/qaxeen? (Aan Soomaaliya aheyn)","true","selected(${refugee},'yes')","","","","","",NA,""
"97","end_group","","","","","","","","","","",NA,""
"98","begin_group","why_displaced","Reasons for displacement","Sababta Barakacida","","selected(${yes_no_host},""no"")","","","","","",NA,""
"99","date","left_aoo","When did you leave your area of origin?","Goormee kasoo tagtay deegaankaaga asalka ah?","true","selected(${yes_no_host},""no"") ","month-year",". < today()","Must be before today","","",NA,""
"100","date","arrived_current","When did you arrive at the current location? (answer cannot be longer than previous answer)","Goormee imaatay goobta aad hadda joogtid?","true","","month-year",". <= today() and . >= ${left_aoo}","Cannot be before date left AoO","","",NA,""
"101","calculate","difference_arrived_today_days","","","true","","","","","","today() - ${arrived_current}",NA,""
"102","calculate","difference_arrived_left_days","","","true","","","","","","${arrived_current} - ${left_aoo}",NA,""
"103","integer","locations_lived","In total, how many locations have you lived in since leaving your area of origin?","Guud ahaan, imisa meel ayaad kusoo noolaatey ilaa tan aad kasoo tagtay deegaanka asalka?","true","${difference_arrived_left_days} > 7","",".>=0","","","",NA,""
"104","note","displacement_note","What are the two main reasons you left your previous location?","Waa maxay sababaha ugu weyn ee aad uga soo tagtay meesha aad horey u deganayd?","false","","","","","","",NA,""
"105","select_one reason1","disp_why1","First reason","Sababta Koowaad","true","","","","","","",NA,""
"106","select_one reason1","disp_why2","Second reason","Sababta Labaad","true","not(selected(${disp_why1},""none"")) and not(selected(${disp_why1},""dontknow""))","","not(selected(., ${disp_why1}))","Can't select same as the first reason","name != ${disp_why1}","",NA,""
"107","note","disp_current_note","What are the top two reasons why you chose to come to this location?","Waa maxay sababaha ugu weyn ee aad u dooratay inaad halkaan imaatid?","false","","","","","","",NA,""
"108","select_one reason2","dest_loc_why1","First reason","Sababta Koowaad","true","","","","","","",NA,""
"109","select_one reason2","dest_loc_why2","Second reason","Sababta Labaad","true","not(selected(${dest_loc_why1},""none"")) and not(selected(${dest_loc_why1},""dontknow""))","","not(selected(., ${dest_loc_why1}))","Can't select the first reason","name != ${dest_loc_why1}","",NA,""
"110","select_one returnee_remain","returnee_remain_here","Do you intend to remain and settle in this location permanently?","Ma daneynaysaa inaad iska joogtid oo aad degtid halkaan?","true","","","","","","",NA,""
"111","select_one date2","when_continue","When will you move to your intended destination?","Goormee u guureysaa meesha aad qorsheynaysid?","true","not(selected(${returnee_remain_here},""yes"") or selected(${returnee_remain_here}, ""dontknow""))","","","","","",NA,""
"112","select_one region","region_intended","Region","Gobolka","true","selected(${returnee_remain_here},""elsewhere_somalia"")","","","","","",NA,""
"113","select_one district","district_intended","District","Degmada","true","selected(${returnee_remain_here},""elsewhere_somalia"")","","","","region=${region_intended}","",NA,""
"114","select_one_external settlements","settlement_intended","Settlement","Xaafada/Tuullada/Deegaanka/Magaaladee","true","selected(${returnee_remain_here},""elsewhere_somalia"")","","","","district=${district_intended}","",NA,""
"115","text","settlement_intended_other","Please enter the name of the town, village or neighbourhood","Sheeg magaca xaafada/tuullada/magaalada/kaamka ama magaca meel u dhow","true","selected(${settlement_intended},""other"") and selected(${returnee_remain_here},""elsewhere_somalia"")","","","","","",NA,""
"116","end_group","","","","","","","","","","",NA,""
"117","end_group","","","","","","","","","","",NA,""
"118","begin_group","D","Protection","","","","","","","","",NA,""
"119","begin_group","child_protection","Child Protection","ILLAALINTA CARUURTA","","${total_children}>0","","","","","",NA,""
"120","select_one y_n_dk","beh_change","Have you noticed any negative changes in any of the childrenï¿½s behavior in the last 3 months?","Ma ku aragtay carruurta wax isbedel xaga dhaqanka ah 3 bilood ee la soo dhaafay haddii ay ahaan lahayd mid fiican ama  mid xun?","true","","","","","","",NA,""
"121","select_multiple behavior_change","girls_beh_change","If you have noticed any behavior changes in any of the children, what kind of behavior changes have you noticed in girls? (Check all that apply.)","Haddii aad ku aragtay wax isbedelo xaga dhaqanka ah cid ka mid ah carruurta, waa maxay nooca isbedelada xaga dhanqanka ah ee aad ku aragtay gabdhaha? (Fadlan dooro dhamaan jawaaba ku haboon)","true","selected(${beh_change},'yes')","","not(selected(., ""none"") and count-selected(.) > 1) and not(selected(., ""dontknow"") and count-selected(.) > 1)","cannot select ""No change"" and ""I donï¿½t know or I donï¿½t want to answer"" with any other option","","",NA,""
"122","text","girls_beh_change_other","If other, please specify","Wax kale, fadlan qeex","true","selected(${girls_beh_change},'other')","","","","","",NA,""
"123","select_multiple behavior_change","boys_beh_change","If you have noticed any behavior changes in any of the children, what kind of behavior changes have you noticed in boys? (Check all that apply.)","Haddii aad ku aragtay wax isbedelo xaga dhaqanka ah cid ka mid ah carruurta, waa maxay nooca isbedelada xaga dhanqanka ah ee aad ku aragtay wiilasha? (Fadlan dooro dhamaan jawaaba ku haboon)","true","selected(${beh_change},'yes')","","not(selected(., ""none"") and count-selected(.) > 1) and not(selected(., ""dontknow"") and count-selected(.) > 1) and not(selected(., ""none"") and selected(${girls_beh_change},""none""))","Cannot select 'No change' for both girls behaviour change and boys behaviour change while said yes to behaviour change AND Cannot select ""No change"" and ""I donï¿½t know or I donï¿½t want to answer"" with any other option","","",NA,""
"124","text","boys_beh_change_other","If other, please specify","Wax kale, fadlan qeex","true","selected(${boys_beh_change},'other')","","","","","",NA,""
"125","select_multiple harsh_work","girls_harsh_work_type","What types of work are girls (aged 17 and below) in this household involved in, if any?","Sheeg nooca shaqooyinka ay qabtaan gabdhaha da'dooda 17 ka yar tahay ee qoyska jooga?","true","","","not(selected(., ""none"") and count-selected(.) > 1) and not(selected(., ""dontknow"") and count-selected(.) > 1)","cannot select ""None"" and ""I donï¿½t know or I donï¿½t want to answer"" with any other option","","",NA,""
"126","text","girls_harsh_work_type_other","If other, please specify","Wax kale, fadlan qeex","true","selected(${girls_harsh_work_type},'other')","","","","","",NA,""
"127","select_multiple harsh_work","boys_harsh_work_type","What types of work are boys (aged 17 and below) in this household involved in, if any?","Sheeg nooca shaqooyinka ay qabtaan wiilasha da'dooda 17 ka yar tahay ee qoyska jooga?","true","","","not(selected(., ""none"") and count-selected(.) > 1) and not(selected(., ""dontknow"") and count-selected(.) > 1)","cannot select ""None"" and ""I donï¿½t know or I donï¿½t want to answer"" with any other option","","",NA,""
"128","text","boys_harsh_work_type_other","If other, please specify","Wax kale, fadlan qeex","true","selected(${boys_harsh_work_type},'other')","","","","","",NA,""
"129","end_group","","","","","","","","","","",NA,""
"130","begin_group","separations","Separations","Kala go'id/ Kala harid/ Kala soocmid","","","","","","","",NA,""
"131","select_one yes_no","separated_members","Were any household members separated from the household within the past three months/90 days?","Ma jiraan dad qoyska ka mid ah oo qoyska ka go'ay 3 bilood ee la soo dhaafay?","true","","","","","","",NA,""
"132","begin_group","separated_members_yes","","","","selected(${separated_members},'yes')","field-list","","","","",NA,""
"133","note","separations_number","Please indicate the number of separated members","Fadlan sheeg tirada dadka qoyskooda ka haray ama ka dhumay xillga barakaca:","false ","","","","","","",NA,""
"134","integer","separated_boys","Separated boys (aged 17 and below)","Wiil aan lala socon ama ka dhumay dadkooda","true","","",".<=20 and .>=0","Must not be illogically high","","",NA,""
"135","integer","separated_girls","Separated girls (aged 17 and below)","Gabar aan lala socon ama ka dhumay dadkooda","true","","",".<=20 and .>=0","Must not be illogically high","","",NA,""
"136","integer","separated_male_assets","Adult male who is in other location to protect property/ assets","Wiil qaangaar oo meel kale jooga si uu u ilaaliyo hantida","true","","",".<=20 and .>=0","Must not be illogically high","","",NA,""
"137","integer","separated_female_assets","Adult female who is in other location to protect property/ assets","Gabar qaangaar oo meel kale joogta si ay u ilaaliyo hantida","true","","",".<=20 and .>=0","Must not be illogically high","","",NA,""
"138","integer","separated_male_other","Other adult male members separated","Rag kale qaangaar ah oo kala dhumay ama haray","true","","",".<=20 and .>=0","Must not be illogically high","","",NA,""
"139","integer","separated_female_other","Other adult female members separated","Dumar kale qaangaar ah oo kala dhumay ama haray","true","","",".<=20 and .>=0 and ${separated_boys}+${separated_girls}+${separated_male_assets}+${separated_female_assets}+${separated_female_other}>0","Must not be illogically high and should be great than 0","","",NA,""
"140","end_group","separated_members_yes","","","","","","","","","",NA,""
"141","begin_group","separated","Separated children","Caruur ka soocmay/ aan la joogin waalidkooda","","${separated_boys}>0 or ${separated_girls}>0","","","","","",NA,""
"142","select_one separation_circumstances","separation_circumstances","For the children that have been separated from the household within the past 3 months/90 days, was the separation voluntary, accidental or forced?","Haddi ay carruur laga gooyay qoyskooda ay jiraan 3 bilood ee la soo dhaafay, kala goyntan ma mid iskeeda ah baa,  mid shil ah ama mid la qasbay?","true","","","","","","",NA,""
"143","select_multiple separation_accidental","sep_accidental","If children have been accidentally separated from the household within the past 3 months/90 days, what are the main reasons for the separation? (Check all that apply.)","Haddii ay carruur laga gooyay qoyska ay jiraan 3 b ilood ee la soo dhaafay,waa maxay  sababaha ugu weyn ee keentay kala goynta?","true","selected(${separation_circumstances},""accidental"")","","not(selected(., ""dontknow"") and count-selected(.) > 1)","","","",NA,""
"144","select_multiple separation_voluntary","sep_voluntary","If children have been intentionally separated from the household within the past 3 months/90 days, what are the main reasons for the separation? (Check all that apply.)","Haddii caruurta si ula kac ah looga reebay/soocay qoyskooda 3-dii bilood ee lasoo dhaafey, sheeg sababaha caruurta looga reebay qoyskooda?","","selected(${separation_circumstances},""voluntary"")","","not(selected(., ""dontknow"") and count-selected(.) > 1)","","","",NA,""
"145","select_multiple separation_forced","sep_forced","If children have been forcibly separated from the household within the past 3 months/90 days, what are the main reasons for the separation? (Check all that apply.)","Haddii caruurta si qasab/dirqi ah looga reebay/soocay qoyskooda 3dii bilood ee lasoo dhaafey, sheeg sababaha caruurta looga reebay qoyskooda?","","selected(${separation_circumstances},""forced"")","","not(selected(., ""dontknow"") and count-selected(.) > 1)","","","",NA,""
"146","end_group","","","","","","","","","","",NA,""
"147","end_group","","","","","","","","","","",NA,""
"148","begin_group","safety","Safety","AMMAANKA","","","","","","","",NA,""
"149","select_one y_n_dk","free_movement","Are people able to move freely in this community and the surrounding area?","Dadka si xuriyad leh ma u socon karaan bulshada dhexdeeda iyo hareeraha?","true","","","","","","",NA,""
"150","select_multiple movement_restrictions","movement_restrictions","What are the limits to free movement?","Maxaa xadidaaya socodka xurta ah ee meesha?","true","selected(${free_movement},'no')","","","","","",NA,""
